load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
11653.579,11653.579,11653.579,2020-02-01 05:00:00+00:00,ISONE,RT5M,5m
11610.609,11610.609,11610.609,2020-02-01 05:05:00+00:00,ISONE,RT5M,5m
11562.772,11562.772,11560.872,2020-02-01 05:10:00+00:00,ISONE,RT5M,5m
11534.381,11534.381,11534.381,2020-02-01 05:15:00+00:00,ISONE,RT5M,5m
11512.857,11512.857,11497.257,2020-02-01 05:20:00+00:00,ISONE,RT5M,5m
11712.93,11712.93,11449.73,2020-02-01 05:25:00+00:00,ISONE,RT5M,5m
11677.467,11677.467,11398.067,2020-02-01 05:30:00+00:00,ISONE,RT5M,5m
11631.715,11631.715,11366.115,2020-02-01 05:35:00+00:00,ISONE,RT5M,5m
11572.469,11572.469,11310.669,2020-02-01 05:40:00+00:00,ISONE,RT5M,5m
11535.841,11535.841,11272.841,2020-02-01 05:45:00+00:00,ISONE,RT5M,5m
11515.129,11515.129,11253.429,2020-02-01 05:50:00+00:00,ISONE,RT5M,5m
11503.86,11503.86,11229.56,2020-02-01 05:55:00+00:00,ISONE,RT5M,5m
11455.433,11455.433,11178.333,2020-02-01 06:00:00+00:00,ISONE,RT5M,5m
11653.83,11653.83,11138.63,2020-02-01 06:05:00+00:00,ISONE,RT5M,5m
11632.226,11632.226,11112.826,2020-02-01 06:10:00+00:00,ISONE,RT5M,5m
11618.158,11618.158,11097.258,2020-02-01 06:15:00+00:00,ISONE,RT5M,5m
11584.804,11584.804,11063.204,2020-02-01 06:20:00+00:00,ISONE,RT5M,5m
11548.746,11548.746,11027.746,2020-02-01 06:25:00+00:00,ISONE,RT5M,5m
11535.064,11535.064,11014.164,2020-02-01 06:30:00+00:00,ISONE,RT5M,5m
11512.354,11512.354,10989.454,2020-02-01 06:35:00+00:00,ISONE,RT5M,5m
11467.184,11467.184,10946.584,2020-02-01 06:40:00+00:00,ISONE,RT5M,5m
11466.297,11466.297,10944.597,2020-02-01 06:45:00+00:00,ISONE,RT5M,5m
11461.086,11461.086,10940.986,2020-02-01 06:50:00+00:00,ISONE,RT5M,5m
11416.382,11416.382,10896.382,2020-02-01 06:55:00+00:00,ISONE,RT5M,5m
11415.974,11415.974,10894.874,2020-02-01 07:00:00+00:00,ISONE,RT5M,5m
