load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
9938.072,9938.072,9612.272,2021-06-01 04:00:00+00:00,ISONE,RT5M,5m
9908.044,9908.044,9582.744,2021-06-01 04:05:00+00:00,ISONE,RT5M,5m
10039.598,10039.598,9492.698,2021-06-01 04:10:00+00:00,ISONE,RT5M,5m
10003.243,10003.243,9455.843,2021-06-01 04:15:00+00:00,ISONE,RT5M,5m
9978.681,9978.681,9402.881,2021-06-01 04:20:00+00:00,ISONE,RT5M,5m
9918.023,9918.023,9370.823,2021-06-01 04:25:00+00:00,ISONE,RT5M,5m
9881.148,9881.148,9335.048,2021-06-01 04:30:00+00:00,ISONE,RT5M,5m
9874.879,9874.879,9300.379,2021-06-01 04:35:00+00:00,ISONE,RT5M,5m
9850.117,9850.117,9297.817,2021-06-01 04:40:00+00:00,ISONE,RT5M,5m
9807.813,9807.813,9254.713,2021-06-01 04:45:00+00:00,ISONE,RT5M,5m
9751.06,9751.06,9202.46,2021-06-01 04:50:00+00:00,ISONE,RT5M,5m
9704.46,9704.46,9149.66,2021-06-01 04:55:00+00:00,ISONE,RT5M,5m
9662.49,9662.49,9117.29,2021-06-01 05:00:00+00:00,ISONE,RT5M,5m
9632.654,9632.654,9087.854,2021-06-01 05:05:00+00:00,ISONE,RT5M,5m
9600.497,9600.497,9055.697,2021-06-01 05:10:00+00:00,ISONE,RT5M,5m
9602.552,9602.552,9059.652,2021-06-01 05:15:00+00:00,ISONE,RT5M,5m
9575.012,9575.012,9026.112,2021-06-01 05:20:00+00:00,ISONE,RT5M,5m
9578.555,9578.555,9022.555,2021-06-01 05:25:00+00:00,ISONE,RT5M,5m
9519.055,9519.055,8972.155,2021-06-01 05:30:00+00:00,ISONE,RT5M,5m
9487.324,9487.324,8942.824,2021-06-01 05:35:00+00:00,ISONE,RT5M,5m
9478.076,9478.076,8935.676,2021-06-01 05:40:00+00:00,ISONE,RT5M,5m
9484.086,9484.086,8941.286,2021-06-01 05:45:00+00:00,ISONE,RT5M,5m
9480.522,9480.522,8929.522,2021-06-01 05:50:00+00:00,ISONE,RT5M,5m
9496.223,9496.223,8921.023,2021-06-01 05:55:00+00:00,ISONE,RT5M,5m
9686.023,9686.023,8891.623,2021-06-01 06:00:00+00:00,ISONE,RT5M,5m
9703.661,9703.661,8890.161,2021-06-01 06:05:00+00:00,ISONE,RT5M,5m
9681.002,9681.002,8867.302,2021-06-01 06:10:00+00:00,ISONE,RT5M,5m
9665.067,9665.067,8866.267,2021-06-01 06:15:00+00:00,ISONE,RT5M,5m
9636.566,9636.566,8838.266,2021-06-01 06:20:00+00:00,ISONE,RT5M,5m
9603.234,9603.234,8806.134,2021-06-01 06:25:00+00:00,ISONE,RT5M,5m
9592.479,9592.479,8793.379,2021-06-01 06:30:00+00:00,ISONE,RT5M,5m
9616.072,9616.072,8816.772,2021-06-01 06:35:00+00:00,ISONE,RT5M,5m
9625.268,9625.268,8817.468,2021-06-01 06:40:00+00:00,ISONE,RT5M,5m
9608.729,9608.729,8810.429,2021-06-01 06:45:00+00:00,ISONE,RT5M,5m
