load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
10867.729,10867.729,10867.629,2021-08-01 04:00:00+00:00,ISONE,RT5M,5m
10835.519,10835.519,10835.219,2021-08-01 04:05:00+00:00,ISONE,RT5M,5m
10742.174,10742.174,10742.174,2021-08-01 04:10:00+00:00,ISONE,RT5M,5m
10712.096,10712.096,10704.396,2021-08-01 04:15:00+00:00,ISONE,RT5M,5m
10629.77,10629.77,10629.77,2021-08-01 04:20:00+00:00,ISONE,RT5M,5m
10583.935,10583.935,10581.835,2021-08-01 04:25:00+00:00,ISONE,RT5M,5m
10530.523,10530.523,10530.523,2021-08-01 04:30:00+00:00,ISONE,RT5M,5m
10481.674,10481.674,10471.774,2021-08-01 04:35:00+00:00,ISONE,RT5M,5m
10443.484,10443.484,10434.584,2021-08-01 04:40:00+00:00,ISONE,RT5M,5m
10380.204,10380.204,10368.304,2021-08-01 04:45:00+00:00,ISONE,RT5M,5m
10327.925,10327.925,10327.925,2021-08-01 04:50:00+00:00,ISONE,RT5M,5m
10239.77,10239.77,10239.77,2021-08-01 04:55:00+00:00,ISONE,RT5M,5m
10204.679,10204.679,10204.679,2021-08-01 05:00:00+00:00,ISONE,RT5M,5m
10207.989,10207.989,10186.789,2021-08-01 05:05:00+00:00,ISONE,RT5M,5m
10152.369,10152.369,10152.369,2021-08-01 05:10:00+00:00,ISONE,RT5M,5m
10095.15,10095.15,10094.55,2021-08-01 05:15:00+00:00,ISONE,RT5M,5m
10070.801,10070.801,10070.001,2021-08-01 05:20:00+00:00,ISONE,RT5M,5m
10007.699,10007.699,10007.699,2021-08-01 05:25:00+00:00,ISONE,RT5M,5m
9991.765,9991.765,9991.765,2021-08-01 05:30:00+00:00,ISONE,RT5M,5m
9986.643,9986.643,9959.643,2021-08-01 05:35:00+00:00,ISONE,RT5M,5m
9926.16,9926.16,9905.26,2021-08-01 05:40:00+00:00,ISONE,RT5M,5m
9864.864,9864.864,9864.864,2021-08-01 05:45:00+00:00,ISONE,RT5M,5m
9875.732,9875.732,9875.732,2021-08-01 05:50:00+00:00,ISONE,RT5M,5m
9989.187,9989.187,9872.087,2021-08-01 05:55:00+00:00,ISONE,RT5M,5m
10128.178,10128.178,9806.178,2021-08-01 06:00:00+00:00,ISONE,RT5M,5m
10072.665,10072.665,9782.765,2021-08-01 06:05:00+00:00,ISONE,RT5M,5m
