load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
13526.008,13526.008,13267.108,2019-03-01 05:00:00+00:00,ISONE,RT5M,5m
13472.397,13472.397,13213.897,2019-03-01 05:05:00+00:00,ISONE,RT5M,5m
13423.584,13423.584,13166.184,2019-03-01 05:10:00+00:00,ISONE,RT5M,5m
13381.37,13381.37,13117.37,2019-03-01 05:15:00+00:00,ISONE,RT5M,5m
13338.051,13338.051,13067.651,2019-03-01 05:20:00+00:00,ISONE,RT5M,5m
13309.541,13309.541,13038.141,2019-03-01 05:25:00+00:00,ISONE,RT5M,5m
13280.702,13280.702,13009.302,2019-03-01 05:30:00+00:00,ISONE,RT5M,5m
13256.439,13256.439,12985.139,2019-03-01 05:35:00+00:00,ISONE,RT5M,5m
13215.104,13215.104,12945.504,2019-03-01 05:40:00+00:00,ISONE,RT5M,5m
13168.475,13168.475,12896.675,2019-03-01 05:45:00+00:00,ISONE,RT5M,5m
13140.103,13140.103,12868.003,2019-03-01 05:50:00+00:00,ISONE,RT5M,5m
13131.24,13131.24,12861.84,2019-03-01 05:55:00+00:00,ISONE,RT5M,5m
13083.488,13083.488,12813.588,2019-03-01 06:00:00+00:00,ISONE,RT5M,5m
13049.505,13049.505,12778.905,2019-03-01 06:05:00+00:00,ISONE,RT5M,5m
13036.263,13036.263,12765.763,2019-03-01 06:10:00+00:00,ISONE,RT5M,5m
13008.129,13008.129,12736.529,2019-03-01 06:15:00+00:00,ISONE,RT5M,5m
12996.084,12996.084,12725.084,2019-03-01 06:20:00+00:00,ISONE,RT5M,5m
12973.015,12973.015,12702.015,2019-03-01 06:25:00+00:00,ISONE,RT5M,5m
12933.447,12933.447,12661.147,2019-03-01 06:30:00+00:00,ISONE,RT5M,5m
12948.916,12948.916,12678.216,2019-03-01 06:35:00+00:00,ISONE,RT5M,5m
12930.301,12930.301,12660.001,2019-03-01 06:40:00+00:00,ISONE,RT5M,5m
12889.298,12889.298,12617.998,2019-03-01 06:45:00+00:00,ISONE,RT5M,5m
12907.378,12907.378,12636.678,2019-03-01 06:50:00+00:00,ISONE,RT5M,5m
12871.708,12871.708,12601.508,2019-03-01 06:55:00+00:00,ISONE,RT5M,5m
12866.793,12866.793,12595.793,2019-03-01 07:00:00+00:00,ISONE,RT5M,5m
12852.326,12852.326,12581.926,2019-03-01 07:05:00+00:00,ISONE,RT5M,5m
12857.728,12857.728,12587.628,2019-03-01 07:10:00+00:00,ISONE,RT5M,5m
12829.306,12829.306,12561.306,2019-03-01 07:15:00+00:00,ISONE,RT5M,5m
12830.383,12830.383,12559.283,2019-03-01 07:20:00+00:00,ISONE,RT5M,5m
12838.291,12838.291,12567.791,2019-03-01 07:25:00+00:00,ISONE,RT5M,5m
12818.943,12818.943,12548.943,2019-03-01 07:30:00+00:00,ISONE,RT5M,5m
12808.004,12808.004,12538.604,2019-03-01 07:35:00+00:00,ISONE,RT5M,5m
12805.38,12805.38,12535.88,2019-03-01 07:40:00+00:00,ISONE,RT5M,5m
12831.619,12831.619,12560.219,2019-03-01 07:45:00+00:00,ISONE,RT5M,5m
12804.279,12804.279,12533.579,2019-03-01 07:50:00+00:00,ISONE,RT5M,5m
12774.33,12774.33,12504.43,2019-03-01 07:55:00+00:00,ISONE,RT5M,5m
12770.546,12770.546,12499.346,2019-03-01 08:00:00+00:00,ISONE,RT5M,5m
12789.965,12789.965,12520.965,2019-03-01 08:05:00+00:00,ISONE,RT5M,5m
12784.916,12784.916,12515.616,2019-03-01 08:10:00+00:00,ISONE,RT5M,5m
12792.358,12792.358,12521.658,2019-03-01 08:15:00+00:00,ISONE,RT5M,5m
12798.723,12798.723,12528.523,2019-03-01 08:20:00+00:00,ISONE,RT5M,5m
12810.099,12810.099,12540.899,2019-03-01 08:25:00+00:00,ISONE,RT5M,5m
12824.446,12824.446,12553.846,2019-03-01 08:30:00+00:00,ISONE,RT5M,5m
12856.327,12856.327,12587.027,2019-03-01 08:35:00+00:00,ISONE,RT5M,5m
13089.956,13089.956,12562.656,2019-03-01 08:40:00+00:00,ISONE,RT5M,5m
13109.499,13109.499,12584.199,2019-03-01 08:45:00+00:00,ISONE,RT5M,5m
13118.813,13118.813,12592.113,2019-03-01 08:50:00+00:00,ISONE,RT5M,5m
13147.802,13147.802,12620.602,2019-03-01 08:55:00+00:00,ISONE,RT5M,5m
13198.141,13198.141,12673.941,2019-03-01 09:00:00+00:00,ISONE,RT5M,5m
13271.17,13271.17,12743.27,2019-03-01 09:05:00+00:00,ISONE,RT5M,5m
13287.818,13287.818,12761.118,2019-03-01 09:10:00+00:00,ISONE,RT5M,5m
13312.305,13312.305,12787.005,2019-03-01 09:15:00+00:00,ISONE,RT5M,5m
13369.38,13369.38,12844.18,2019-03-01 09:20:00+00:00,ISONE,RT5M,5m
13384.493,13384.493,12858.793,2019-03-01 09:25:00+00:00,ISONE,RT5M,5m
13425.216,13425.216,12899.616,2019-03-01 09:30:00+00:00,ISONE,RT5M,5m
13478.971,13478.971,12953.571,2019-03-01 09:35:00+00:00,ISONE,RT5M,5m
13530.567,13530.567,13004.167,2019-03-01 09:40:00+00:00,ISONE,RT5M,5m
13596.664,13596.664,13071.664,2019-03-01 09:45:00+00:00,ISONE,RT5M,5m
13657.024,13657.024,13131.324,2019-03-01 09:50:00+00:00,ISONE,RT5M,5m
13485.018,13485.018,13214.518,2019-03-01 09:55:00+00:00,ISONE,RT5M,5m
13566.95,13566.95,13297.65,2019-03-01 10:00:00+00:00,ISONE,RT5M,5m
13728.002,13728.002,13459.202,2019-03-01 10:05:00+00:00,ISONE,RT5M,5m
13821.391,13821.391,13552.391,2019-03-01 10:10:00+00:00,ISONE,RT5M,5m
13918.98,13918.98,13650.38,2019-03-01 10:15:00+00:00,ISONE,RT5M,5m
14005.682,14005.682,13735.782,2019-03-01 10:20:00+00:00,ISONE,RT5M,5m
14093.402,14093.402,13824.902,2019-03-01 10:25:00+00:00,ISONE,RT5M,5m
