load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
10276.048,10276.048,10012.848,2021-05-01 04:00:00+00:00,ISONE,RT5M,5m
10228.031,10228.031,9968.431,2021-05-01 04:05:00+00:00,ISONE,RT5M,5m
10171.584,10171.584,9909.884,2021-05-01 04:10:00+00:00,ISONE,RT5M,5m
10116.12,10116.12,9856.02,2021-05-01 04:15:00+00:00,ISONE,RT5M,5m
10073.761,10073.761,9813.661,2021-05-01 04:20:00+00:00,ISONE,RT5M,5m
10020.992,10020.992,9761.292,2021-05-01 04:25:00+00:00,ISONE,RT5M,5m
9768.477,9768.477,9758.477,2021-05-01 04:30:00+00:00,ISONE,RT5M,5m
9668.064,9668.064,9668.064,2021-05-01 04:35:00+00:00,ISONE,RT5M,5m
9617.949,9617.949,9617.549,2021-05-01 04:40:00+00:00,ISONE,RT5M,5m
9597.971,9597.971,9597.971,2021-05-01 04:45:00+00:00,ISONE,RT5M,5m
9571.249,9571.249,9569.049,2021-05-01 04:50:00+00:00,ISONE,RT5M,5m
9549.199,9549.199,9549.199,2021-05-01 04:55:00+00:00,ISONE,RT5M,5m
9532.615,9532.615,9529.615,2021-05-01 05:00:00+00:00,ISONE,RT5M,5m
9506.415,9506.415,9506.415,2021-05-01 05:05:00+00:00,ISONE,RT5M,5m
9466.705,9466.705,9466.705,2021-05-01 05:10:00+00:00,ISONE,RT5M,5m
9417.137,9417.137,9414.137,2021-05-01 05:15:00+00:00,ISONE,RT5M,5m
9427.811,9427.811,9422.211,2021-05-01 05:20:00+00:00,ISONE,RT5M,5m
9690.319,9690.319,9400.219,2021-05-01 05:25:00+00:00,ISONE,RT5M,5m
9668.937,9668.937,9365.837,2021-05-01 05:30:00+00:00,ISONE,RT5M,5m
9666.592,9666.592,9358.592,2021-05-01 05:35:00+00:00,ISONE,RT5M,5m
9621.97,9621.97,9330.57,2021-05-01 05:40:00+00:00,ISONE,RT5M,5m
9595.848,9595.848,9304.148,2021-05-01 05:45:00+00:00,ISONE,RT5M,5m
9590.443,9590.443,9298.843,2021-05-01 05:50:00+00:00,ISONE,RT5M,5m
9573.382,9573.382,9281.382,2021-05-01 05:55:00+00:00,ISONE,RT5M,5m
9562.512,9562.512,9268.612,2021-05-01 06:00:00+00:00,ISONE,RT5M,5m
9553.244,9553.244,9262.844,2021-05-01 06:05:00+00:00,ISONE,RT5M,5m
9521.125,9521.125,9230.125,2021-05-01 06:10:00+00:00,ISONE,RT5M,5m
9505.554,9505.554,9214.454,2021-05-01 06:15:00+00:00,ISONE,RT5M,5m
9498.926,9498.926,9208.426,2021-05-01 06:20:00+00:00,ISONE,RT5M,5m
9472.066,9472.066,9181.566,2021-05-01 06:25:00+00:00,ISONE,RT5M,5m
9468.559,9468.559,9178.259,2021-05-01 06:30:00+00:00,ISONE,RT5M,5m
9450.836,9450.836,9160.536,2021-05-01 06:35:00+00:00,ISONE,RT5M,5m
9454.146,9454.146,9162.446,2021-05-01 06:40:00+00:00,ISONE,RT5M,5m
9449.94,9449.94,9160.34,2021-05-01 06:45:00+00:00,ISONE,RT5M,5m
9448.568,9448.568,9158.268,2021-05-01 06:50:00+00:00,ISONE,RT5M,5m
9423.965,9423.965,9133.765,2021-05-01 06:55:00+00:00,ISONE,RT5M,5m
9429.856,9429.856,9139.756,2021-05-01 07:00:00+00:00,ISONE,RT5M,5m
9420.983,9420.983,9129.783,2021-05-01 07:05:00+00:00,ISONE,RT5M,5m
9428.453,9428.453,9139.253,2021-05-01 07:10:00+00:00,ISONE,RT5M,5m
9430.873,9430.873,9141.473,2021-05-01 07:15:00+00:00,ISONE,RT5M,5m
9415.561,9415.561,9126.161,2021-05-01 07:20:00+00:00,ISONE,RT5M,5m
9427.666,9427.666,9138.966,2021-05-01 07:25:00+00:00,ISONE,RT5M,5m
9434.616,9434.616,9144.216,2021-05-01 07:30:00+00:00,ISONE,RT5M,5m
9425.921,9425.921,9136.321,2021-05-01 07:35:00+00:00,ISONE,RT5M,5m
9423.382,9423.382,9120.182,2021-05-01 07:40:00+00:00,ISONE,RT5M,5m
9450.289,9450.289,9162.389,2021-05-01 07:45:00+00:00,ISONE,RT5M,5m
9435.921,9435.921,9148.621,2021-05-01 07:50:00+00:00,ISONE,RT5M,5m
9167.073,9167.073,9151.173,2021-05-01 07:55:00+00:00,ISONE,RT5M,5m
9179.929,9179.929,9179.929,2021-05-01 08:00:00+00:00,ISONE,RT5M,5m
9223.084,9223.084,9223.084,2021-05-01 08:05:00+00:00,ISONE,RT5M,5m
9229.453,9229.453,9224.653,2021-05-01 08:10:00+00:00,ISONE,RT5M,5m
9243.908,9243.908,9243.908,2021-05-01 08:15:00+00:00,ISONE,RT5M,5m
9218.42,9218.42,9212.82,2021-05-01 08:20:00+00:00,ISONE,RT5M,5m
