load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
11010.62,11010.62,11010.62,2019-09-01 04:00:00+00:00,ISONE,RT5M,5m
10931.06,10931.06,10922.86,2019-09-01 04:05:00+00:00,ISONE,RT5M,5m
10851.047,10851.047,10848.547,2019-09-01 04:10:00+00:00,ISONE,RT5M,5m
10796.807,10796.807,10796.807,2019-09-01 04:15:00+00:00,ISONE,RT5M,5m
10764.939,10764.939,10762.939,2019-09-01 04:20:00+00:00,ISONE,RT5M,5m
10661.322,10661.322,10661.322,2019-09-01 04:25:00+00:00,ISONE,RT5M,5m
10619.871,10619.871,10616.671,2019-09-01 04:30:00+00:00,ISONE,RT5M,5m
10573.773,10573.773,10570.073,2019-09-01 04:35:00+00:00,ISONE,RT5M,5m
10525.392,10525.392,10523.792,2019-09-01 04:40:00+00:00,ISONE,RT5M,5m
10456.625,10456.625,10443.025,2019-09-01 04:45:00+00:00,ISONE,RT5M,5m
10664.973,10664.973,10405.073,2019-09-01 04:50:00+00:00,ISONE,RT5M,5m
10611.908,10611.908,10352.608,2019-09-01 04:55:00+00:00,ISONE,RT5M,5m
10771.592,10771.592,10304.792,2019-09-01 05:00:00+00:00,ISONE,RT5M,5m
10816.32,10816.32,10258.32,2019-09-01 05:05:00+00:00,ISONE,RT5M,5m
10763.62,10763.62,10209.32,2019-09-01 05:10:00+00:00,ISONE,RT5M,5m
10737.674,10737.674,10179.874,2019-09-01 05:15:00+00:00,ISONE,RT5M,5m
10698.4,10698.4,10140.8,2019-09-01 05:20:00+00:00,ISONE,RT5M,5m
10658.04,10658.04,10103.54,2019-09-01 05:25:00+00:00,ISONE,RT5M,5m
10620.152,10620.152,10063.952,2019-09-01 05:30:00+00:00,ISONE,RT5M,5m
10590.043,10590.043,10023.243,2019-09-01 05:35:00+00:00,ISONE,RT5M,5m
10539.822,10539.822,9985.222,2019-09-01 05:40:00+00:00,ISONE,RT5M,5m
10500.263,10500.263,9946.463,2019-09-01 05:45:00+00:00,ISONE,RT5M,5m
10470.447,10470.447,9914.247,2019-09-01 05:50:00+00:00,ISONE,RT5M,5m
10479.695,10479.695,9913.195,2019-09-01 05:55:00+00:00,ISONE,RT5M,5m
10440.925,10440.925,9875.725,2019-09-01 06:00:00+00:00,ISONE,RT5M,5m
10636.461,10636.461,9820.461,2019-09-01 06:05:00+00:00,ISONE,RT5M,5m
10616.213,10616.213,9799.913,2019-09-01 06:10:00+00:00,ISONE,RT5M,5m
10619.824,10619.824,9799.724,2019-09-01 06:15:00+00:00,ISONE,RT5M,5m
10617.281,10617.281,9794.081,2019-09-01 06:20:00+00:00,ISONE,RT5M,5m
10798.873,10798.873,9722.473,2019-09-01 06:25:00+00:00,ISONE,RT5M,5m
10753.688,10753.688,9679.188,2019-09-01 06:30:00+00:00,ISONE,RT5M,5m
10726.801,10726.801,9651.901,2019-09-01 06:35:00+00:00,ISONE,RT5M,5m
10714.652,10714.652,9639.852,2019-09-01 06:40:00+00:00,ISONE,RT5M,5m
10703.245,10703.245,9628.045,2019-09-01 06:45:00+00:00,ISONE,RT5M,5m
10666.099,10666.099,9595.399,2019-09-01 06:50:00+00:00,ISONE,RT5M,5m
10694.4,10694.4,9619.4,2019-09-01 06:55:00+00:00,ISONE,RT5M,5m
10638.029,10638.029,9566.929,2019-09-01 07:00:00+00:00,ISONE,RT5M,5m
10929.897,10929.897,9574.997,2019-09-01 07:05:00+00:00,ISONE,RT5M,5m
10902.499,10902.499,9541.399,2019-09-01 07:10:00+00:00,ISONE,RT5M,5m
10876.674,10876.674,9520.774,2019-09-01 07:15:00+00:00,ISONE,RT5M,5m
10881.559,10881.559,9527.059,2019-09-01 07:20:00+00:00,ISONE,RT5M,5m
10891.346,10891.346,9533.946,2019-09-01 07:25:00+00:00,ISONE,RT5M,5m
11112.213,11112.213,9501.313,2019-09-01 07:30:00+00:00,ISONE,RT5M,5m
11115.254,11115.254,9491.654,2019-09-01 07:35:00+00:00,ISONE,RT5M,5m
11076.746,11076.746,9469.746,2019-09-01 07:40:00+00:00,ISONE,RT5M,5m
11064.206,11064.206,9454.006,2019-09-01 07:45:00+00:00,ISONE,RT5M,5m
11050.674,11050.674,9433.574,2019-09-01 07:50:00+00:00,ISONE,RT5M,5m
11047.559,11047.559,9441.759,2019-09-01 07:55:00+00:00,ISONE,RT5M,5m
11039.86,11039.86,9434.26,2019-09-01 08:00:00+00:00,ISONE,RT5M,5m
11062.479,11062.479,9459.779,2019-09-01 08:05:00+00:00,ISONE,RT5M,5m
11049.918,11049.918,9447.318,2019-09-01 08:10:00+00:00,ISONE,RT5M,5m
11054.932,11054.932,9451.132,2019-09-01 08:15:00+00:00,ISONE,RT5M,5m
11024.634,11024.634,9421.334,2019-09-01 08:20:00+00:00,ISONE,RT5M,5m
11012.135,11012.135,9411.135,2019-09-01 08:25:00+00:00,ISONE,RT5M,5m
11015.36,11015.36,9408.96,2019-09-01 08:30:00+00:00,ISONE,RT5M,5m
11050.579,11050.579,9451.079,2019-09-01 08:35:00+00:00,ISONE,RT5M,5m
11031.245,11031.245,9432.545,2019-09-01 08:40:00+00:00,ISONE,RT5M,5m
11013.502,11013.502,9414.402,2019-09-01 08:45:00+00:00,ISONE,RT5M,5m
11021.601,11021.601,9424.301,2019-09-01 08:50:00+00:00,ISONE,RT5M,5m
11011.908,11011.908,9415.808,2019-09-01 08:55:00+00:00,ISONE,RT5M,5m
11075.557,11075.557,9474.257,2019-09-01 09:00:00+00:00,ISONE,RT5M,5m
11078.298,11078.298,9487.098,2019-09-01 09:05:00+00:00,ISONE,RT5M,5m
11096.642,11096.642,9492.242,2019-09-01 09:10:00+00:00,ISONE,RT5M,5m
11075.383,11075.383,9484.883,2019-09-01 09:15:00+00:00,ISONE,RT5M,5m
11111.979,11111.979,9526.879,2019-09-01 09:20:00+00:00,ISONE,RT5M,5m
11119.849,11119.849,9522.049,2019-09-01 09:25:00+00:00,ISONE,RT5M,5m
11118.104,11118.104,9529.404,2019-09-01 09:30:00+00:00,ISONE,RT5M,5m
11123.297,11127.13,9541.73,2019-09-01 09:35:00+00:00,ISONE,RT5M,5m
