load_MW,SystemLoadBtmPv,NativeLoadBtmPv,timestamp,ba_name,market,freq
10684.175,10684.175,10393.675,2020-12-01 05:00:00+00:00,ISONE,RT5M,5m
10621.088,10621.088,10331.888,2020-12-01 05:05:00+00:00,ISONE,RT5M,5m
10858.377,10858.377,10313.877,2020-12-01 05:10:00+00:00,ISONE,RT5M,5m
10738.873,10738.873,10188.273,2020-12-01 05:15:00+00:00,ISONE,RT5M,5m
10716.086,10716.086,10160.286,2020-12-01 05:20:00+00:00,ISONE,RT5M,5m
10640.865,10640.865,10093.265,2020-12-01 05:25:00+00:00,ISONE,RT5M,5m
10570.07,10570.07,10023.47,2020-12-01 05:30:00+00:00,ISONE,RT5M,5m
10572.906,10572.906,10025.806,2020-12-01 05:35:00+00:00,ISONE,RT5M,5m
10542.255,10542.255,9993.155,2020-12-01 05:40:00+00:00,ISONE,RT5M,5m
10481.834,10481.834,9934.934,2020-12-01 05:45:00+00:00,ISONE,RT5M,5m
10462.699,10462.699,9916.499,2020-12-01 05:50:00+00:00,ISONE,RT5M,5m
10448.291,10448.291,9887.891,2020-12-01 05:55:00+00:00,ISONE,RT5M,5m
10398.191,10398.191,9849.291,2020-12-01 06:00:00+00:00,ISONE,RT5M,5m
10382.616,10382.616,9818.616,2020-12-01 06:05:00+00:00,ISONE,RT5M,5m
10309.093,10309.093,9764.493,2020-12-01 06:10:00+00:00,ISONE,RT5M,5m
10310.727,10310.727,9763.627,2020-12-01 06:15:00+00:00,ISONE,RT5M,5m
10282.248,10282.248,9735.748,2020-12-01 06:20:00+00:00,ISONE,RT5M,5m
10221.1,10221.1,9676.8,2020-12-01 06:25:00+00:00,ISONE,RT5M,5m
10199.739,10199.739,9650.939,2020-12-01 06:30:00+00:00,ISONE,RT5M,5m
10180.325,10180.325,9633.125,2020-12-01 06:35:00+00:00,ISONE,RT5M,5m
10192.557,10192.557,9628.357,2020-12-01 06:40:00+00:00,ISONE,RT5M,5m
10155.686,10155.686,9611.386,2020-12-01 06:45:00+00:00,ISONE,RT5M,5m
10096.061,10096.061,9551.261,2020-12-01 06:50:00+00:00,ISONE,RT5M,5m
10088.595,10088.595,9544.495,2020-12-01 06:55:00+00:00,ISONE,RT5M,5m
10137.24,10137.24,9574.44,2020-12-01 07:00:00+00:00,ISONE,RT5M,5m
10310.592,10310.592,9516.192,2020-12-01 07:05:00+00:00,ISONE,RT5M,5m
10300.684,10300.684,9507.384,2020-12-01 07:10:00+00:00,ISONE,RT5M,5m
10321.147,10321.147,9507.847,2020-12-01 07:15:00+00:00,ISONE,RT5M,5m
10269.987,10269.987,9475.287,2020-12-01 07:20:00+00:00,ISONE,RT5M,5m
10271.124,10271.124,9471.924,2020-12-01 07:25:00+00:00,ISONE,RT5M,5m
10241.501,10241.501,9447.001,2020-12-01 07:30:00+00:00,ISONE,RT5M,5m
10253.393,10253.393,9459.093,2020-12-01 07:35:00+00:00,ISONE,RT5M,5m
10206.691,10206.691,9414.991,2020-12-01 07:40:00+00:00,ISONE,RT5M,5m
10228.582,10228.582,9430.982,2020-12-01 07:45:00+00:00,ISONE,RT5M,5m
10238.869,10238.869,9447.769,2020-12-01 07:50:00+00:00,ISONE,RT5M,5m
10219.761,10219.761,9418.161,2020-12-01 07:55:00+00:00,ISONE,RT5M,5m
10217.27,10217.27,9426.17,2020-12-01 08:00:00+00:00,ISONE,RT5M,5m
10197.109,10197.109,9403.409,2020-12-01 08:05:00+00:00,ISONE,RT5M,5m
10239.063,10239.063,9442.963,2020-12-01 08:10:00+00:00,ISONE,RT5M,5m
10213.2,10213.2,9421.6,2020-12-01 08:15:00+00:00,ISONE,RT5M,5m
